id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_pf,full_dd
SIP_033,SIP_033: PURE_STOCKS | MOM_HURDLE_30 | 3Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_30,3,ADAPTIVE_STRUCTURAL,20.62,31.4,24.1,20.7,20.63,28.07,39.2,-19.71,-10.88,14.5,17.28,0.0,0.0,13.3
SIP_069,SIP_069: PURE_STOCKS | 52W_HIGH_PROXI | 4Stk | ADAPTIVE_STR,PURE_STOCKS,52W_HIGH_PROXIMITY,4,ADAPTIVE_STRUCTURAL,20.57,30.92,23.62,20.4,21.51,28.94,40.9,-18.3,-9.47,14.5,16.48,0.0,0.0,14.5
SIP_005,SIP_005: PURE_STOCKS | MULTI_LOOKBACK | 4Stk | ADAPTIVE_STR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,4,ADAPTIVE_STRUCTURAL,20.08,26.18,18.88,17.5,21.94,29.37,41.7,-26.86,-18.03,14.5,18.57,0.0,0.0,15.1
SIP_055,SIP_055: PURE_STOCKS | MOM_HURDLE_20 | 4Stk | SMART_STEPLA,PURE_STOCKS,MOM_HURDLE_20,4,SMART_STEPLADDER,19.93,26.72,19.42,17.8,21.86,29.3,41.6,-16.85,-8.02,14.5,17.38,1.68,0.3,14.4
SIP_072,SIP_072: PURE_STOCKS | 52W_HIGH_PROXI | 4Stk | DYNAMIC_ATR,PURE_STOCKS,52W_HIGH_PROXIMITY,4,DYNAMIC_ATR,19.9,30.02,22.72,19.9,21.55,28.99,41.0,-18.3,-9.47,14.5,13.92,0.0,0.0,13.4
SIP_034,SIP_034: PURE_STOCKS | MOM_HURDLE_30 | 3Stk | VAN_THARP_3T,PURE_STOCKS,MOM_HURDLE_30,3,VAN_THARP_3TIER,19.56,25.81,18.51,17.3,22.02,29.46,41.9,-19.71,-10.88,14.5,16.19,1.49,0.36,14.1
SIP_008,SIP_008: PURE_STOCKS | MULTI_LOOKBACK | 4Stk | DYNAMIC_ATR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,4,DYNAMIC_ATR,19.48,24.47,17.17,16.4,21.94,29.37,41.7,-26.86,-18.03,14.5,17.5,0.0,0.0,14.4
SIP_070,SIP_070: PURE_STOCKS | 52W_HIGH_PROXI | 4Stk | VAN_THARP_3T,PURE_STOCKS,52W_HIGH_PROXIMITY,4,VAN_THARP_3TIER,19.38,25.3,18.0,16.9,23.6,31.04,45.1,-18.3,-9.47,14.5,14.02,1.38,0.35,16.9
SIP_099,SIP_099: PURE_STOCKS | QUALITY_COMPOS | 3Stk | SMART_STEPLA,PURE_STOCKS,QUALITY_COMPOSITE,3,SMART_STEPLADDER,19.22,27.95,20.65,18.6,19.5,26.94,36.9,-17.54,-8.71,14.5,15.37,0.52,0.12,15.8
SIP_051,SIP_051: PURE_STOCKS | MOM_HURDLE_20 | 3Stk | SMART_STEPLA,PURE_STOCKS,MOM_HURDLE_20,3,SMART_STEPLADDER,19.22,27.95,20.65,18.6,19.5,26.94,36.9,-17.54,-8.71,14.5,15.37,0.52,0.12,15.8
SIP_056,SIP_056: PURE_STOCKS | MOM_HURDLE_20 | 4Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_20,4,DYNAMIC_ATR,19.21,22.85,15.55,15.4,22.46,29.89,42.8,-16.85,-8.02,14.5,17.26,0.0,0.0,12.9
SIP_053,SIP_053: PURE_STOCKS | MOM_HURDLE_20 | 4Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_20,4,ADAPTIVE_STRUCTURAL,19.19,22.01,14.71,14.9,22.05,29.49,42.0,-16.72,-7.89,14.5,18.49,0.0,0.0,12.7
SIP_097,SIP_097: PURE_STOCKS | QUALITY_COMPOS | 3Stk | ADAPTIVE_STR,PURE_STOCKS,QUALITY_COMPOSITE,3,ADAPTIVE_STRUCTURAL,18.22,23.82,16.52,16.0,18.27,25.71,34.5,-17.32,-8.49,14.5,16.47,0.0,0.0,14.1
SIP_049,SIP_049: PURE_STOCKS | MOM_HURDLE_20 | 3Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_20,3,ADAPTIVE_STRUCTURAL,18.22,23.82,16.52,16.0,18.27,25.71,34.5,-17.32,-8.49,14.5,16.47,0.0,0.0,14.1
SIP_052,SIP_052: PURE_STOCKS | MOM_HURDLE_20 | 3Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_20,3,DYNAMIC_ATR,18.21,22.36,15.06,15.1,19.5,26.94,36.9,-17.54,-8.71,14.5,16.47,0.0,0.0,14.1
SIP_100,SIP_100: PURE_STOCKS | QUALITY_COMPOS | 3Stk | DYNAMIC_ATR,PURE_STOCKS,QUALITY_COMPOSITE,3,DYNAMIC_ATR,18.21,22.36,15.06,15.1,19.5,26.94,36.9,-17.54,-8.71,14.5,16.47,0.0,0.0,14.1
SIP_001,SIP_001: PURE_STOCKS | MULTI_LOOKBACK | 3Stk | ADAPTIVE_STR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,3,ADAPTIVE_STRUCTURAL,17.64,17.85,10.55,12.2,22.1,29.54,42.1,-28.09,-19.26,14.5,15.45,0.0,0.0,16.0
SIP_004,SIP_004: PURE_STOCKS | MULTI_LOOKBACK | 3Stk | DYNAMIC_ATR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,3,DYNAMIC_ATR,17.36,18.07,10.77,12.3,22.45,29.88,42.8,-28.09,-19.26,14.5,13.43,0.0,0.0,16.0
SIP_007,SIP_007: PURE_STOCKS | MULTI_LOOKBACK | 4Stk | SMART_STEPLA,PURE_STOCKS,MULTI_LOOKBACK_BLEND,4,SMART_STEPLADDER,15.18,4.67,-2.63,3.3,21.94,29.37,41.7,-26.86,-18.03,14.5,18.89,0.72,0.08,20.1
SIP_062,SIP_062: PURE_STOCKS | MOM_HURDLE_20 | 6Stk | VAN_THARP_3T,PURE_STOCKS,MOM_HURDLE_20,6,VAN_THARP_3TIER,12.97,36.4,29.1,23.7,36.4,43.84,71.2,-15.18,-6.35,-45.5,14.09,2.57,0.4,13.8
SIP_091,SIP_091: PURE_STOCKS | MOMENTUM_CONVE | 5Stk | SMART_STEPLA,PURE_STOCKS,MOMENTUM_CONVEXITY,5,SMART_STEPLADDER,12.75,49.75,42.45,31.4,23.98,31.41,45.8,-12.16,-3.33,-37.9,7.45,0.63,0.06,12.6
SIP_003,SIP_003: PURE_STOCKS | MULTI_LOOKBACK | 3Stk | SMART_STEPLA,PURE_STOCKS,MULTI_LOOKBACK_BLEND,3,SMART_STEPLADDER,12.71,-1.44,-8.74,-1.0,22.45,29.88,42.8,-28.09,-19.26,14.5,13.43,0.53,0.04,20.3
SIP_075,SIP_075: PURE_STOCKS | 52W_HIGH_PROXI | 5Stk | SMART_STEPLA,PURE_STOCKS,52W_HIGH_PROXIMITY,5,SMART_STEPLADDER,12.45,38.33,31.03,24.9,31.39,38.83,60.9,-14.32,-5.49,-43.4,13.53,1.07,0.14,13.4
SIP_074,SIP_074: PURE_STOCKS | 52W_HIGH_PROXI | 5Stk | VAN_THARP_3T,PURE_STOCKS,52W_HIGH_PROXIMITY,5,VAN_THARP_3TIER,12.03,36.42,29.12,23.7,31.39,38.83,60.9,-14.32,-5.49,-43.4,13.53,1.95,0.25,14.0
SIP_095,SIP_095: PURE_STOCKS | MOMENTUM_CONVE | 6Stk | SMART_STEPLA,PURE_STOCKS,MOMENTUM_CONVEXITY,6,SMART_STEPLADDER,11.92,42.96,35.66,27.6,25.48,32.91,48.8,-11.93,-3.1,-37.3,7.47,0.62,0.08,11.4
SIP_086,SIP_086: PURE_STOCKS | MOMENTUM_CONVE | 4Stk | VAN_THARP_3T,PURE_STOCKS,MOMENTUM_CONVEXITY,4,VAN_THARP_3TIER,11.24,50.3,43.0,31.8,17.36,24.8,32.7,-12.36,-3.53,-38.4,7.93,2.11,0.25,12.7
SIP_089,SIP_089: PURE_STOCKS | MOMENTUM_CONVE | 5Stk | ADAPTIVE_STR,PURE_STOCKS,MOMENTUM_CONVEXITY,5,ADAPTIVE_STRUCTURAL,11.13,29.22,21.92,19.4,24.58,32.01,47.0,-7.82,1.01,-25.7,7.37,0.0,0.0,10.6
SIP_092,SIP_092: PURE_STOCKS | MOMENTUM_CONVE | 5Stk | DYNAMIC_ATR,PURE_STOCKS,MOMENTUM_CONVEXITY,5,DYNAMIC_ATR,10.96,31.82,24.52,21.0,23.98,31.41,45.8,-8.43,0.4,-27.5,6.28,0.0,0.0,10.0
SIP_073,SIP_073: PURE_STOCKS | 52W_HIGH_PROXI | 5Stk | ADAPTIVE_STR,PURE_STOCKS,52W_HIGH_PROXIMITY,5,ADAPTIVE_STRUCTURAL,10.89,32.52,25.22,21.4,27.61,35.04,53.1,-13.49,-4.66,-41.3,14.51,0.0,0.0,12.9
SIP_088,SIP_088: PURE_STOCKS | MOMENTUM_CONVE | 4Stk | DYNAMIC_ATR,PURE_STOCKS,MOMENTUM_CONVEXITY,4,DYNAMIC_ATR,10.62,32.77,25.47,21.6,16.79,24.22,31.6,-6.88,1.95,-22.9,7.93,0.0,0.0,11.1
SIP_087,SIP_087: PURE_STOCKS | MOMENTUM_CONVE | 4Stk | SMART_STEPLA,PURE_STOCKS,MOMENTUM_CONVEXITY,4,SMART_STEPLADDER,10.36,46.65,39.35,29.7,16.79,24.22,31.6,-12.36,-3.53,-38.4,7.93,1.54,0.11,13.4
SIP_085,SIP_085: PURE_STOCKS | MOMENTUM_CONVE | 4Stk | ADAPTIVE_STR,PURE_STOCKS,MOMENTUM_CONVEXITY,4,ADAPTIVE_STRUCTURAL,10.35,29.96,22.66,19.8,17.35,24.78,32.7,-6.52,2.31,-21.8,7.93,0.0,0.0,11.0
SIP_082,SIP_082: PURE_STOCKS | MOMENTUM_CONVE | 3Stk | VAN_THARP_3T,PURE_STOCKS,MOMENTUM_CONVEXITY,3,VAN_THARP_3TIER,10.22,32.5,25.2,21.4,16.34,23.77,30.7,-7.6,1.23,-25.1,9.02,1.82,0.47,12.2
SIP_079,SIP_079: PURE_STOCKS | 52W_HIGH_PROXI | 6Stk | SMART_STEPLA,PURE_STOCKS,52W_HIGH_PROXIMITY,6,SMART_STEPLADDER,10.14,35.9,28.6,23.4,27.26,34.7,52.4,-15.3,-6.47,-45.8,12.16,0.73,0.1,12.7
SIP_090,SIP_090: PURE_STOCKS | MOMENTUM_CONVE | 5Stk | VAN_THARP_3T,PURE_STOCKS,MOMENTUM_CONVEXITY,5,VAN_THARP_3TIER,9.75,34.49,27.19,22.6,24.27,31.7,46.4,-12.16,-3.33,-37.9,7.45,1.25,0.22,12.2
SIP_076,SIP_076: PURE_STOCKS | 52W_HIGH_PROXI | 5Stk | DYNAMIC_ATR,PURE_STOCKS,52W_HIGH_PROXIMITY,5,DYNAMIC_ATR,9.69,28.94,21.64,19.2,28.42,35.85,54.8,-14.32,-5.49,-43.4,13.43,0.0,0.0,12.7
SIP_096,SIP_096: PURE_STOCKS | MOMENTUM_CONVE | 6Stk | DYNAMIC_ATR,PURE_STOCKS,MOMENTUM_CONVEXITY,6,DYNAMIC_ATR,9.33,27.32,20.02,18.2,25.48,32.91,48.8,-10.3,-1.47,-32.8,6.47,0.0,0.0,10.1
SIP_093,SIP_093: PURE_STOCKS | MOMENTUM_CONVE | 6Stk | ADAPTIVE_STR,PURE_STOCKS,MOMENTUM_CONVEXITY,6,ADAPTIVE_STRUCTURAL,9.33,26.47,19.17,17.7,23.95,31.38,45.8,-9.1,-0.27,-29.4,5.86,0.0,0.0,10.9
SIP_063,SIP_063: PURE_STOCKS | MOM_HURDLE_20 | 6Stk | SMART_STEPLA,PURE_STOCKS,MOM_HURDLE_20,6,SMART_STEPLADDER,9.29,27.35,20.05,18.2,29.5,36.93,57.0,-15.18,-6.35,-45.5,13.96,1.58,0.17,13.0
SIP_094,SIP_094: PURE_STOCKS | MOMENTUM_CONVE | 6Stk | VAN_THARP_3T,PURE_STOCKS,MOMENTUM_CONVEXITY,6,VAN_THARP_3TIER,9.11,29.26,21.96,19.4,25.73,33.16,49.3,-11.93,-3.1,-37.3,7.47,1.15,0.18,11.5
SIP_010,SIP_010: PURE_STOCKS | MULTI_LOOKBACK | 5Stk | VAN_THARP_3T,PURE_STOCKS,MULTI_LOOKBACK_BLEND,5,VAN_THARP_3TIER,8.52,35.08,27.78,22.9,17.41,24.84,32.8,-15.1,-6.27,-45.3,16.78,1.66,0.17,17.5
