id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_061,SW_061: CLENOW_SMOOTHN | 4Slots | NONE | THREE_TIER_S,CLENOW_SMOOTHNESS,4,NONE,THREE_TIER_SCALE,14.13,-14.32,-27.1,0.71,6.49,31.9,0.81,32.69,23.42,30.85,23.4,0.91,1.24,17.7,57.7
SW_087,SW_087: CLENOW_SMOOTHN | 6Slots | AGGRESSIVE | REGIME_ADAPT,CLENOW_SMOOTHNESS,6,AGGRESSIVE_75,REGIME_ADAPTIVE,13.9,2.84,5.9,0.85,1.19,5.4,0.6,24.77,22.59,30.02,22.6,0.8,1.3,13.8,60.4
SW_055,SW_055: MULTI_LOOKBACK | 10Slots | LIVERMORE_ | CHANDELIER_R,MULTI_LOOKBACK,10,LIVERMORE_50,CHANDELIER_RUNNER,13.79,-15.42,-29.1,0.69,5.71,27.7,0.8,53.03,20.08,27.51,20.1,0.81,1.21,17.1,60.0
SW_078,SW_078: CLENOW_SMOOTHN | 6Slots | NONE | SYMMETRIC_1.,CLENOW_SMOOTHNESS,6,NONE,SYMMETRIC_1.5,12.85,-10.23,-19.9,0.64,4.28,20.2,0.79,41.53,21.54,28.97,21.5,0.84,1.18,11.4,58.3
SW_040,SW_040: MULTI_LOOKBACK | 8Slots | LIVERMORE_ | CHANDELIER_R,MULTI_LOOKBACK,8,LIVERMORE_50,CHANDELIER_RUNNER,12.7,-15.1,-28.5,0.72,6.39,31.3,0.77,47.51,9.75,17.18,9.8,0.75,1.08,24.0,59.1
SW_093,SW_093: CLENOW_SMOOTHN | 8Slots | NONE | SYMMETRIC_1.,CLENOW_SMOOTHNESS,8,NONE,SYMMETRIC_1.5,12.57,-12.05,-23.1,0.67,5.83,28.3,0.84,37.57,19.35,26.78,19.4,0.85,1.18,8.6,58.1
SW_075,SW_075: CLENOW_SMOOTHN | 4Slots | AGGRESSIVE | CHANDELIER_R,CLENOW_SMOOTHNESS,4,AGGRESSIVE_75,CHANDELIER_RUNNER,12.53,-3.51,-7.1,0.63,2.49,11.4,0.67,29.83,14.41,21.84,14.4,0.7,1.19,16.1,61.6
SW_067,SW_067: CLENOW_SMOOTHN | 4Slots | LIVERMORE_ | REGIME_ADAPT,CLENOW_SMOOTHNESS,4,LIVERMORE_50,REGIME_ADAPTIVE,12.17,3.15,6.6,0.63,0.69,3.1,0.74,28.5,6.78,14.21,6.8,0.8,1.06,16.5,57.2
SW_095,SW_095: CLENOW_SMOOTHN | 8Slots | NONE | CHANDELIER_R,CLENOW_SMOOTHNESS,8,NONE,CHANDELIER_RUNNER,12.15,-10.38,-20.1,0.73,4.1,19.3,0.77,42.78,17.89,25.32,17.9,0.83,1.2,9.1,59.2
SW_076,SW_076: CLENOW_SMOOTHN | 6Slots | NONE | THREE_TIER_S,CLENOW_SMOOTHNESS,6,NONE,THREE_TIER_SCALE,11.74,-7.55,-14.9,0.66,2.35,10.8,0.88,39.26,15.92,23.35,15.9,0.92,1.16,12.8,55.8
SW_065,SW_065: CLENOW_SMOOTHN | 4Slots | NONE | CHANDELIER_R,CLENOW_SMOOTHNESS,4,NONE,CHANDELIER_RUNNER,11.68,-9.16,-17.9,0.75,3.5,16.3,0.7,40.49,14.3,21.74,14.3,0.77,1.11,19.9,59.3
SW_092,SW_092: CLENOW_SMOOTHN | 8Slots | NONE | REGIME_ADAPT,CLENOW_SMOOTHNESS,8,NONE,REGIME_ADAPTIVE,11.48,-10.12,-19.7,0.72,3.42,15.9,0.81,43.25,17.94,25.38,17.9,0.84,1.19,8.9,58.7
SW_090,SW_090: CLENOW_SMOOTHN | 6Slots | AGGRESSIVE | CHANDELIER_R,CLENOW_SMOOTHNESS,6,AGGRESSIVE_75,CHANDELIER_RUNNER,11.18,-1.15,-2.4,0.74,2.48,11.4,0.58,18.25,17.42,24.85,17.4,0.77,1.23,14.4,61.2
SW_077,SW_077: CLENOW_SMOOTHN | 6Slots | NONE | REGIME_ADAPT,CLENOW_SMOOTHNESS,6,NONE,REGIME_ADAPTIVE,10.82,-8.5,-16.6,0.68,2.16,9.8,0.78,40.24,21.47,28.9,21.5,0.86,1.21,12.0,58.6
SW_072,SW_072: CLENOW_SMOOTHN | 4Slots | AGGRESSIVE | REGIME_ADAPT,CLENOW_SMOOTHNESS,4,AGGRESSIVE_75,REGIME_ADAPTIVE,10.36,3.72,7.8,0.88,-0.64,-2.8,0.71,23.24,5.62,13.06,5.6,0.75,1.06,19.5,58.2
