id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_0772,SW_0772: DONCHIAN_TURT | 6Slots | LIVERMORE_ | THREE_TIER_W,DONCHIAN_TURTLE,6,LIVERMORE_50,THREE_TIER_WIDE,-4.12,-19.37,-35.2,0.72,-8.79,-33.3,0.81,66.37,5.89,12.46,5.9,0.93,1.06,12.8,53.8
SW_0775,SW_0775: DONCHIAN_TURT | 6Slots | LIVERMORE_ | CHANDELIER_R,DONCHIAN_TURTLE,6,LIVERMORE_50,CHANDELIER_RUNNER,-4.14,-20.4,-36.9,0.63,-9.99,-37.0,0.51,73.91,4.59,11.16,4.6,0.87,1.04,13.6,57.2
SW_0841,SW_0841: RANGE_EXPANSI | 5Slots | NONE | THREE_TIER_T,RANGE_EXPANSION_BURST,5,NONE,THREE_TIER_TIGHT,-4.23,-26.05,-45.6,0.81,3.22,14.9,1.25,34.25,-23.06,-16.5,-23.1,1.07,0.74,29.4,41.7
SW_0709,SW_0709: DONCHIAN_TURT | 3Slots | CONSERVATI | REGIME_ADAPT,DONCHIAN_TURTLE,3,CONSERVATIVE_25,REGIME_ADAPTIVE,-4.24,-19.98,-36.2,0.85,-11.36,-41.1,0.92,76.56,1.99,8.56,2.0,0.9,0.97,20.4,52.4
SW_0821,SW_0821: RANGE_EXPANSI | 4Slots | NONE | THREE_TIER_T,RANGE_EXPANSION_BURST,4,NONE,THREE_TIER_TIGHT,-4.25,-28.62,-49.3,0.82,2.06,9.4,1.27,33.73,-13.99,-7.42,-14.0,1.12,0.83,23.5,44.3
SW_0825,SW_0825: RANGE_EXPANSI | 4Slots | NONE | CHANDELIER_R,RANGE_EXPANSION_BURST,4,NONE,CHANDELIER_RUNNER,-4.42,-15.3,-28.4,0.75,-0.33,-1.4,1.25,25.47,-25.45,-18.89,-25.4,1.02,0.66,32.4,40.6
SW_0763,SW_0763: DONCHIAN_TURT | 6Slots | NONE | ASYMMETRIC_R,DONCHIAN_TURTLE,6,NONE,ASYMMETRIC_RUNNER,-4.58,-15.32,-28.5,0.65,-9.13,-34.4,0.72,54.43,5.59,12.15,5.6,1.06,1.04,11.7,49.7
SW_0710,SW_0710: DONCHIAN_TURT | 3Slots | CONSERVATI | CHANDELIER_R,DONCHIAN_TURTLE,3,CONSERVATIVE_25,CHANDELIER_RUNNER,-4.58,-25.1,-44.2,0.52,-14.04,-48.6,0.5,81.9,17.14,23.7,17.1,0.81,1.25,10.3,61.2
SW_0786,SW_0786: DONCHIAN_TURT | 8Slots | CONSERVATI | THREE_TIER_T,DONCHIAN_TURTLE,8,CONSERVATIVE_25,THREE_TIER_TIGHT,-4.77,-19.9,-36.1,0.69,-7.29,-28.3,0.84,52.39,11.81,18.37,11.8,1.03,1.14,10.9,52.4
SW_0762,SW_0762: DONCHIAN_TURT | 6Slots | NONE | THREE_TIER_W,DONCHIAN_TURTLE,6,NONE,THREE_TIER_WIDE,-4.78,-18.88,-34.4,0.7,-6.75,-26.5,0.89,51.05,9.83,16.39,9.8,1.02,1.11,9.6,52.2
SW_0751,SW_0751: DONCHIAN_TURT | 5Slots | LIVERMORE_ | THREE_TIER_T,DONCHIAN_TURTLE,5,LIVERMORE_50,THREE_TIER_TIGHT,-4.79,-16.31,-30.2,0.81,-6.3,-24.9,0.66,52.17,-1.53,5.03,-1.5,1.07,0.95,13.3,47.2
SW_0759,SW_0759: DONCHIAN_TURT | 5Slots | AGGRESSIVE | REGIME_ADAPT,DONCHIAN_TURTLE,5,AGGRESSIVE_75,REGIME_ADAPTIVE,-4.82,-14.34,-26.8,0.79,-11.02,-40.1,0.34,68.24,-3.64,2.92,-3.6,0.81,0.91,10.7,54.4
SW_0823,SW_0823: RANGE_EXPANSI | 4Slots | NONE | ASYMMETRIC_R,RANGE_EXPANSION_BURST,4,NONE,ASYMMETRIC_RUNNER,-4.95,-9.01,-17.3,0.84,-1.46,-6.3,1.26,10.95,-19.61,-13.05,-19.6,1.13,0.75,24.6,39.1
SW_0729,SW_0729: DONCHIAN_TURT | 4Slots | CONSERVATI | REGIME_ADAPT,DONCHIAN_TURTLE,4,CONSERVATIVE_25,REGIME_ADAPTIVE,-4.97,-20.73,-37.4,0.74,-9.73,-36.2,0.65,68.24,9.11,15.67,9.1,0.95,1.08,9.8,52.6
SW_0773,SW_0773: DONCHIAN_TURT | 6Slots | LIVERMORE_ | ASYMMETRIC_R,DONCHIAN_TURTLE,6,LIVERMORE_50,ASYMMETRIC_RUNNER,-5.04,-17.69,-32.5,0.65,-8.3,-31.7,0.61,57.63,2.52,9.08,2.5,0.93,1.0,12.9,51.6
SW_0774,SW_0774: DONCHIAN_TURT | 6Slots | LIVERMORE_ | REGIME_ADAPT,DONCHIAN_TURTLE,6,LIVERMORE_50,REGIME_ADAPTIVE,-5.11,-14.03,-26.3,0.9,-12.49,-44.4,0.62,70.45,-2.81,3.76,-2.8,0.82,0.93,14.0,52.5
SW_0799,SW_0799: DONCHIAN_TURT | 8Slots | AGGRESSIVE | REGIME_ADAPT,DONCHIAN_TURTLE,8,AGGRESSIVE_75,REGIME_ADAPTIVE,-5.17,-15.04,-28.0,0.82,-10.25,-37.8,0.73,64.35,-3.11,3.45,-3.1,0.88,0.93,10.8,51.2
SW_0860,SW_0860: RANGE_EXPANSI | 5Slots | AGGRESSIVE | CHANDELIER_R,RANGE_EXPANSION_BURST,5,AGGRESSIVE_75,CHANDELIER_RUNNER,-5.24,-11.79,-22.4,0.55,-5.53,-22.1,0.83,26.1,-11.02,-4.45,-11.0,1.19,0.83,22.3,43.5
SW_0810,SW_0810: RANGE_EXPANSI | 3Slots | CONSERVATI | CHANDELIER_R,RANGE_EXPANSION_BURST,3,CONSERVATIVE_25,CHANDELIER_RUNNER,-5.35,-20.26,-36.6,0.53,-20.64,14.5,0.76,22.05,-28.81,-22.24,-28.8,0.88,0.61,32.2,42.0
SW_0779,SW_0779: DONCHIAN_TURT | 6Slots | AGGRESSIVE | REGIME_ADAPT,DONCHIAN_TURTLE,6,AGGRESSIVE_75,REGIME_ADAPTIVE,-5.5,-15.86,-29.4,0.96,-11.29,-40.9,0.64,68.77,-5.02,1.55,-5.0,0.91,0.9,13.2,49.1
SW_0826,SW_0826: RANGE_EXPANSI | 4Slots | CONSERVATI | THREE_TIER_T,RANGE_EXPANSION_BURST,4,CONSERVATIVE_25,THREE_TIER_TIGHT,-5.62,-26.53,-46.3,0.66,3.2,14.9,1.12,22.04,-17.87,-11.31,-17.9,1.01,0.78,27.0,43.5
SW_0708,SW_0708: DONCHIAN_TURT | 3Slots | CONSERVATI | ASYMMETRIC_R,DONCHIAN_TURTLE,3,CONSERVATIVE_25,ASYMMETRIC_RUNNER,-5.69,-19.94,-36.1,0.51,-12.02,-43.0,0.72,61.07,19.09,25.65,19.1,0.92,1.23,11.2,57.3
SW_0769,SW_0769: DONCHIAN_TURT | 6Slots | CONSERVATI | REGIME_ADAPT,DONCHIAN_TURTLE,6,CONSERVATIVE_25,REGIME_ADAPTIVE,-5.72,-14.81,-27.6,0.81,-12.73,-45.1,0.6,66.75,-0.29,6.27,-0.3,0.88,0.97,12.1,51.9
SW_0745,SW_0745: DONCHIAN_TURT | 5Slots | NONE | CHANDELIER_R,DONCHIAN_TURTLE,5,NONE,CHANDELIER_RUNNER,-5.76,-18.97,-34.6,0.62,-9.65,-36.0,0.61,49.34,19.34,25.9,19.3,1.1,1.27,11.0,53.8
