id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_0165,SIP_0165: PURE_STOCKS | 52W_HIGH_PROXI | 5Stk | TIME_DECAY_M,PURE_STOCKS,52W_HIGH_PROXIMITY,5,TIME_DECAY_MOMENTUM,11.02,7.19,-10.56,5.3,6.85,9.3,15.3,-13.59,6.66,14.5,19.7,2.56,12.3
SIP_0961,SIP_0961: MULTI_ASSET | 52W_HIGH_PROXI | 5Stk | VAN_THARP_3T,MULTI_ASSET_BALANCED,52W_HIGH_PROXIMITY,5,VAN_THARP_3TIER,11.0,13.63,-4.12,9.8,0.89,3.34,1.9,-13.56,6.69,14.5,19.16,0.35,4.3
SIP_0761,SIP_0761: MOMENTUM_RO | 52W_HIGH_PROXI | 5Stk | VAN_THARP_3T,MOMENTUM_ROTATE_DYNAMIC,52W_HIGH_PROXIMITY,5,VAN_THARP_3TIER,11.0,13.63,-4.12,9.8,0.89,3.34,1.9,-13.56,6.69,14.5,19.16,0.35,4.3
SIP_0127,SIP_0127: PURE_STOCKS | MULTI_LOOKBACK | 3Stk | SMART_STEPLA,PURE_STOCKS,MULTI_LOOKBACK_BLEND,3,SMART_STEPLADDER,11.0,5.01,-12.74,3.7,14.7,17.15,33.9,-23.01,-2.76,14.5,12.58,1.64,18.3
SIP_0561,SIP_0561: TACTICAL_MA | 52W_HIGH_PROXI | 5Stk | VAN_THARP_3T,TACTICAL_MACRO_80_20,52W_HIGH_PROXIMITY,5,VAN_THARP_3TIER,11.0,13.63,-4.12,9.8,0.89,3.34,1.9,-13.56,6.69,14.5,19.16,0.35,4.3
SIP_0369,SIP_0369: TACTICAL_MA | 52W_HIGH_PROXI | 6Stk | DYNAMIC_ATR,TACTICAL_MACRO_90_10,52W_HIGH_PROXIMITY,6,DYNAMIC_ATR,10.93,13.09,-4.66,9.4,3.22,5.67,7.1,-14.39,5.86,14.5,16.62,2.87,11.2
SIP_0128,SIP_0128: PURE_STOCKS | MULTI_LOOKBACK | 3Stk | ADAPTIVE_STR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,3,ADAPTIVE_STRUCTURAL,10.92,4.06,-13.69,3.0,15.28,17.73,35.3,-23.32,-3.07,14.5,12.7,1.64,15.6
SIP_0960,SIP_0960: MULTI_ASSET | 52W_HIGH_PROXI | 4Stk | TIME_DECAY_M,MULTI_ASSET_BALANCED,52W_HIGH_PROXIMITY,4,TIME_DECAY_MOMENTUM,10.88,7.64,-10.11,5.6,7.87,10.32,17.7,-13.36,6.89,14.5,17.18,2.24,12.2
SIP_0673,SIP_0673: MOMENTUM_RO | MOM_HURDLE_20 | 8Stk | ADAPTIVE_STR,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_20,8,ADAPTIVE_STRUCTURAL,10.88,5.3,-12.44,3.9,11.24,13.69,25.6,-21.2,-0.95,14.5,15.95,2.39,8.0
SIP_0760,SIP_0760: MOMENTUM_RO | 52W_HIGH_PROXI | 4Stk | TIME_DECAY_M,MOMENTUM_ROTATE_DYNAMIC,52W_HIGH_PROXIMITY,4,TIME_DECAY_MOMENTUM,10.88,7.64,-10.11,5.6,7.87,10.32,17.7,-13.36,6.89,14.5,17.18,2.24,12.2
SIP_0473,SIP_0473: TACTICAL_MA | MOM_HURDLE_20 | 8Stk | ADAPTIVE_STR,TACTICAL_MACRO_80_20,MOM_HURDLE_20,8,ADAPTIVE_STRUCTURAL,10.88,5.3,-12.44,3.9,11.24,13.69,25.6,-21.2,-0.95,14.5,15.95,2.39,8.0
SIP_0873,SIP_0873: MULTI_ASSET | MOM_HURDLE_20 | 8Stk | ADAPTIVE_STR,MULTI_ASSET_BALANCED,MOM_HURDLE_20,8,ADAPTIVE_STRUCTURAL,10.88,5.3,-12.44,3.9,11.24,13.69,25.6,-21.2,-0.95,14.5,15.95,2.39,8.0
SIP_0560,SIP_0560: TACTICAL_MA | 52W_HIGH_PROXI | 4Stk | TIME_DECAY_M,TACTICAL_MACRO_80_20,52W_HIGH_PROXIMITY,4,TIME_DECAY_MOMENTUM,10.88,7.64,-10.11,5.6,7.87,10.32,17.7,-13.36,6.89,14.5,17.18,2.24,12.2
SIP_0326,SIP_0326: TACTICAL_MA | MULTI_LOOKBACK | 3Stk | VAN_THARP_3T,TACTICAL_MACRO_90_10,MULTI_LOOKBACK_BLEND,3,VAN_THARP_3TIER,10.87,5.18,-12.57,3.8,13.37,15.82,30.6,-23.08,-2.82,14.5,13.44,0.3,15.0
SIP_0095,SIP_0095: PURE_STOCKS | MOM_HURDLE_30 | 6Stk | TIME_DECAY_M,PURE_STOCKS,MOM_HURDLE_30,6,TIME_DECAY_MOMENTUM,10.82,10.03,-7.71,7.3,7.04,9.49,15.8,-15.18,5.07,14.5,14.95,2.35,12.2
