id,name,asset_mode,filter,basket_size,exit_protocol,booster,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_01090,SIP_01090: PURE_STOCK | 52W_HIGH_PRO | 6Stk | ADAPTIVE_S | STEPUP_10_,PURE_STOCKS,52W_HIGH_PROXIMITY,6,ADAPTIVE_STRUCTURAL,STEPUP_10_LIQUID_SWEEP,10.83,9.04,-8.71,6.89,2.35,4.8,5.19,-14.15,6.1,14.5,21.57,2.9,9.42
SIP_05290,SIP_05290: MULTI_ASSE | MOM_HURDLE_2 | 4Stk | ADAPTIVE_S | STEPUP_10_,MULTI_ASSET_BALANCED,MOM_HURDLE_20,4,ADAPTIVE_STRUCTURAL,STEPUP_10_LIQUID_SWEEP,10.83,7.05,-10.7,5.4,10.79,13.24,24.53,-16.7,3.55,14.5,13.63,2.29,12.68
SIP_05045,SIP_05045: MULTI_ASSE | CLENOW_MOMEN | 4Stk | DYNAMIC_AT | STEPUP_10_,MULTI_ASSET_BALANCED,CLENOW_MOMENTUM,4,DYNAMIC_ATR,STEPUP_10_LIQUID_SWEEP,10.83,14.46,-3.29,10.86,8.49,10.94,19.14,-16.16,4.09,14.5,6.96,1.85,12.69
SIP_02367,SIP_02367: TACTICAL_M | 52W_HIGH_PRO | 8Stk | DYNAMIC_AT | STEPUP_10_,TACTICAL_MACRO_90_10,52W_HIGH_PROXIMITY,8,DYNAMIC_ATR,STEPUP_10_DIP_95,10.82,14.23,-3.52,10.7,2.44,4.89,5.37,-14.25,6.0,14.5,14.76,2.92,9.86
SIP_02292,SIP_02292: TACTICAL_M | 52W_HIGH_PRO | 4Stk | DYNAMIC_AT | STEPUP_10_,TACTICAL_MACRO_90_10,52W_HIGH_PROXIMITY,4,DYNAMIC_ATR,STEPUP_10_DIP_95,10.82,9.24,-8.51,7.04,6.7,9.15,15.0,-12.9,7.35,14.5,15.82,2.64,10.2
SIP_00596,SIP_00596: PURE_STOCK | MOM_HURDLE_3 | 6Stk | TIME_DECAY | FLAT_SIP_N,PURE_STOCKS,MOM_HURDLE_30,6,TIME_DECAY_MOMENTUM,FLAT_SIP_NO_DIP,10.82,10.03,-7.71,7.31,7.04,9.49,15.78,-15.18,5.07,14.5,14.95,2.35,12.18
SIP_01009,SIP_01009: PURE_STOCK | 52W_HIGH_PRO | 3Stk | SMART_STEP | STEPUP_20_,PURE_STOCKS,52W_HIGH_PROXIMITY,3,SMART_STEPLADDER,STEPUP_20_PYRAMID,10.82,3.35,-14.39,2.71,11.7,14.15,26.68,-22.12,-1.87,14.5,17.16,2.18,14.57
SIP_09494,SIP_09494: DYNAMIC_RE | MOM_HURDLE_3 | 8Stk | DYNAMIC_AT | STEPUP_20_,DYNAMIC_REGIME_ROUTER,MOM_HURDLE_35,8,DYNAMIC_ATR,STEPUP_20_PYRAMID,10.82,8.14,-9.6,6.49,10.74,13.19,24.39,-18.63,1.62,14.5,11.74,2.51,8.48
SIP_05044,SIP_05044: MULTI_ASSE | CLENOW_MOMEN | 4Stk | DYNAMIC_AT | STEPUP_20_,MULTI_ASSET_BALANCED,CLENOW_MOMENTUM,4,DYNAMIC_ATR,STEPUP_20_PYRAMID,10.82,19.0,1.26,14.7,3.89,6.34,8.62,-18.21,2.04,14.5,5.93,1.85,14.87
SIP_02899,SIP_02899: TACTICAL_M | MOM_HURDLE_2 | 3Stk | TIME_DECAY | STEPUP_20_,TACTICAL_MACRO_80_20,MOM_HURDLE_25,3,TIME_DECAY_MOMENTUM,STEPUP_20_PYRAMID,10.82,7.72,-10.03,6.16,9.44,11.89,21.34,-21.07,-0.82,14.5,13.96,2.13,11.83
SIP_06994,SIP_06994: CORE_SATEL | MOM_HURDLE_3 | 8Stk | DYNAMIC_AT | STEPUP_20_,CORE_SATELLITE_70_30,MOM_HURDLE_35,8,DYNAMIC_ATR,STEPUP_20_PYRAMID,10.82,8.14,-9.6,6.49,10.74,13.19,24.39,-18.63,1.62,14.5,11.74,2.51,8.48
SIP_01290,SIP_01290: TACTICAL_M | CLENOW_MOMEN | 4Stk | ADAPTIVE_S | STEPUP_10_,TACTICAL_MACRO_90_10,CLENOW_MOMENTUM,4,ADAPTIVE_STRUCTURAL,STEPUP_10_LIQUID_SWEEP,10.82,7.95,-9.8,6.08,12.11,14.56,27.64,-16.57,3.68,14.5,10.75,1.46,11.68
SIP_08383,SIP_08383: ASYMMETRIC | MULTI_LOOKBA | 3Stk | SMART_STEP | STEPUP_15_,ASYMMETRIC_ALPHA_95_5,MULTI_LOOKBACK_BLEND,3,SMART_STEPLADDER,STEPUP_15_DIP_95_SKIM,10.81,4.74,-13.01,3.73,13.85,16.3,31.82,-23.01,-2.76,14.5,12.63,1.64,16.55
SIP_01361,SIP_01361: TACTICAL_M | CLENOW_MOMEN | 8Stk | ADAPTIVE_S | FLAT_SIP_N,TACTICAL_MACRO_90_10,CLENOW_MOMENTUM,8,ADAPTIVE_STRUCTURAL,FLAT_SIP_NO_DIP,10.81,4.97,-12.77,3.67,9.18,11.63,20.74,-17.89,2.36,14.5,18.58,1.77,9.58
SIP_03589,SIP_03589: TACTICAL_M | 52W_HIGH_PRO | 6Stk | ADAPTIVE_S | STEPUP_20_,TACTICAL_MACRO_80_20,52W_HIGH_PROXIMITY,6,ADAPTIVE_STRUCTURAL,STEPUP_20_PYRAMID,10.81,4.46,-13.29,3.59,11.2,13.65,25.49,-16.24,4.01,14.5,16.22,2.9,8.43
