id,name,entry_mode,slots,pyramid,exit_mode,defense_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,avg_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_04749,SW_04749: MINERVINI_ | 6Sl | AGGRESSI | CHANDELIER | TIME_DEC,MINERVINI_VCP,6,AGGRESSIVE_75,CHANDELIER_RUNNER,TIME_DECAY_STOP_7D,0.92,-9.08,-17.47,0.61,-2.96,-12.38,0.63,35.49,7.0,3.14,9.7,3.14,0.98,1.06,12.95,52.2
SW_05964,SW_05964: OVERSOLD_S | 8Sl | INVERSE_ | SCALPER_TI | TIME_DEC,OVERSOLD_SPRINGBOARD,8,INVERSE_VOL_SIZING,SCALPER_TIGHT,TIME_DECAY_STOP_7D,0.9,-2.16,-4.31,1.22,-2.79,-11.72,1.01,17.24,6.95,-0.02,6.55,-0.02,1.05,1.0,9.78,49.7
SW_07504,SW_07504: DONCHIAN_T | 5Sl | LIVERMOR | REGIME_ADA | TIME_DEC,DONCHIAN_TURTLE,5,LIVERMORE_50,REGIME_ADAPTIVE,TIME_DECAY_STOP_7D,0.9,-14.28,-26.71,0.78,-8.34,-31.82,0.8,73.24,-5.62,12.0,18.56,12.0,0.94,1.17,14.94,54.4
SW_07336,SW_07336: DONCHIAN_T | 4Sl | AGGRESSI | ASYMMETRIC | RAW_EXEC,DONCHIAN_TURTLE,4,AGGRESSIVE_75,ASYMMETRIC_RUNNER,RAW_EXECUTION,0.88,-18.49,-33.78,0.64,-9.37,-35.13,0.56,87.81,-0.47,8.63,15.2,8.63,0.94,1.11,10.2,54.9
SW_08758,SW_08758: RANGE_EXPA | 6Sl | AGGRESSI | SUPER_RUNN | REGIME_S,RANGE_EXPANSION_BURST,6,AGGRESSIVE_75,SUPER_RUNNER_15X,REGIME_SHIELD_AND_SWEEP,0.87,-11.01,-20.95,0.48,-3.03,-12.67,0.78,28.42,16.12,13.59,20.15,13.59,0.9,1.22,11.34,57.8
SW_08760,SW_08760: RANGE_EXPA | 6Sl | AGGRESSI | SUPER_RUNN | COMPREHE,RANGE_EXPANSION_BURST,6,AGGRESSIVE_75,SUPER_RUNNER_15X,COMPREHENSIVE_FORTRESS,0.87,-11.01,-20.95,0.48,-3.03,-12.67,0.78,28.42,16.12,13.59,20.15,13.59,0.9,1.22,11.34,57.8
SW_08959,SW_08959: RANGE_EXPA | 8Sl | AGGRESSI | SUPER_RUNN | TIME_DEC,RANGE_EXPANSION_BURST,8,AGGRESSIVE_75,SUPER_RUNNER_15X,TIME_DECAY_STOP_7D,0.87,-22.01,-39.42,0.59,3.35,15.61,1.04,27.58,30.88,-5.29,1.27,-5.29,0.83,0.92,14.45,51.8
SW_08956,SW_08956: RANGE_EXPA | 8Sl | AGGRESSI | SUPER_RUNN | RAW_EXEC,RANGE_EXPANSION_BURST,8,AGGRESSIVE_75,SUPER_RUNNER_15X,RAW_EXECUTION,0.87,-22.01,-39.42,0.59,3.35,15.61,1.04,27.58,30.88,-5.29,1.27,-5.29,0.83,0.92,14.45,51.8
SW_09241,SW_09241: MULTI_FACT | 4Sl | CONSERVA | SCALPER_TI | RAW_EXEC,MULTI_FACTOR_APEX,4,CONSERVATIVE_25,SCALPER_TIGHT,RAW_EXECUTION,0.86,-17.3,-31.83,0.79,2.52,11.56,0.91,17.26,27.39,2.28,8.84,2.28,1.0,0.96,19.4,50.0
SW_07443,SW_07443: DONCHIAN_T | 5Sl | CONSERVA | SCALPER_TI | REGIME_S,DONCHIAN_TURTLE,5,CONSERVATIVE_25,SCALPER_TIGHT,REGIME_SHIELD_AND_SWEEP,0.84,-12.72,-23.99,0.77,-2.94,-12.31,1.16,46.39,-3.03,7.67,14.23,7.67,1.16,1.06,14.18,47.5
SW_07573,SW_07573: DONCHIAN_T | 5Sl | INVERSE_ | THREE_TIER | REGIME_S,DONCHIAN_TURTLE,5,INVERSE_VOL_SIZING,THREE_TIER_WIDE,REGIME_SHIELD_AND_SWEEP,0.82,-8.41,-16.24,0.75,-3.52,-14.56,0.82,40.6,-6.26,5.65,12.22,5.65,0.93,1.05,8.57,52.4
SW_07575,SW_07575: DONCHIAN_T | 5Sl | INVERSE_ | THREE_TIER | COMPREHE,DONCHIAN_TURTLE,5,INVERSE_VOL_SIZING,THREE_TIER_WIDE,COMPREHENSIVE_FORTRESS,0.82,-8.41,-16.24,0.75,-3.52,-14.56,0.82,40.6,-6.26,5.65,12.22,5.65,0.93,1.05,8.57,52.4
SW_07665,SW_07665: DONCHIAN_T | 6Sl | CONSERVA | REGIME_ADA | COMPREHE,DONCHIAN_TURTLE,6,CONSERVATIVE_25,REGIME_ADAPTIVE,COMPREHENSIVE_FORTRESS,0.81,-17.33,-31.88,0.62,-7.49,-29.0,0.57,75.82,-2.69,11.61,18.17,11.61,0.96,1.14,11.6,54.5
SW_07467,SW_07467: DONCHIAN_T | 5Sl | CONSERVA | CHANDELIER | REGIME_S,DONCHIAN_TURTLE,5,CONSERVATIVE_25,CHANDELIER_RUNNER,REGIME_SHIELD_50,0.81,-15.88,-29.44,0.51,-5.61,-22.41,0.56,70.42,-7.33,6.09,12.65,6.09,0.8,1.11,11.65,58.6
SW_05621,SW_05621: OVERSOLD_S | 6Sl | NONE | REGIME_ADA | RAW_EXEC,OVERSOLD_SPRINGBOARD,6,NONE,REGIME_ADAPTIVE,RAW_EXECUTION,0.79,-9.27,-17.81,1.07,-4.22,-17.28,1.29,36.37,12.17,6.48,13.05,6.48,1.09,1.1,13.31,50.3
SW_07883,SW_07883: DONCHIAN_T | 8Sl | LIVERMOR | SCALPER_TI | REGIME_S,DONCHIAN_TURTLE,8,LIVERMORE_50,SCALPER_TIGHT,REGIME_SHIELD_AND_SWEEP,0.77,-14.65,-27.34,0.73,-1.93,-8.21,1.15,46.0,-5.41,9.23,15.79,9.23,1.17,1.09,8.97,47.6
SW_07705,SW_07705: DONCHIAN_T | 6Sl | LIVERMOR | REGIME_ADA | COMPREHE,DONCHIAN_TURTLE,6,LIVERMORE_50,REGIME_ADAPTIVE,COMPREHENSIVE_FORTRESS,0.77,-16.68,-30.78,0.66,-7.36,-28.55,0.49,78.12,-10.6,10.6,17.16,10.6,0.96,1.13,12.44,53.9
SW_07744,SW_07744: DONCHIAN_T | 6Sl | AGGRESSI | REGIME_ADA | TIME_DEC,DONCHIAN_TURTLE,6,AGGRESSIVE_75,REGIME_ADAPTIVE,TIME_DECAY_STOP_7D,0.76,-14.47,-27.03,0.92,-8.88,-33.57,0.7,80.53,-8.44,6.78,13.34,6.78,0.99,1.08,10.82,51.8
